company_name,address,company_type,description
"THOMPSON, JOSEPH RUSSELL III","P.O. BOX 91 LOTHIAN, Maryland 20711 United States",Uncategorized,"THOMPSON, JOSEPH RUSSELL III"
THORN ELECTRIC INC,"322 EAST 117TH STREET New York, New York 10035 United States",Buliding & Construction,"We specialized in emergency repairs and apartment and building wiring upgrades. While maintaining the business structure of a small company, Thorn Ele"
THORNTON ELECTRIC,"421 RUNNING WATER TRL Fort Worth, Texas 76131-4574 United States",Buliding & Construction,Electrical contractor-All aspects of electrical work
"THORNTON UNIVERSAL SERVICES, LLC","P O BOX 53 Crownsville, Maryland 21032 United States",Uncategorized,"THORNTON UNIVERSAL SERVICES, LLC"
THORO CLEAN CONSTRUCTION CLEAN-UP,"270 CASHMERE STREET, SUITE C San Francisco, California 94124 United States",Industrial Supplies & Services,JANITORIAL SERVICES; BUILDING MAINTENANCE SERVICES;
THORPE DEVELOPMENT WEST,"801 N. LANGHAM AVENUE Covina, California 91724 United States",Buliding & Construction,BUILDING CONSTRUCTION;
THOTH SOLUTIONS INC.,"P.O. BOX 57 Allen, Texas 75013 United States",Information Technology,Custom Computer Programming Services
THOU COVER,"13812B HARRIS RIDGE BLVD Pflugerville, Texas 78660-8831 United States",Uncategorized,Thou Cover provides rental linens and decorative accessories.
"THREAD WORLDWIDE, LLC","11200 BROADWAY, SUITE 2743 Pearland, Texas 77584 United States",Uncategorized,"Thread Worldwide, LLC is an export management & logistics company help companies successfully develop international markets."
"THREE FOLD CONSULTANTS, LLC","PO BOX 53244 New Orleans, Louisiana 70153-3244 United States",Uncategorized,Management
THREE IN ONE AUTO BODY MECHANIC INC,"2314 NW 150TH STREET OPA LOCKA, Florida 33054-0000 United States",Uncategorized,AUTOMOTIVE PAINT REPAIR AND MAINTENANCE
Three Leaf Productions,"940 Science Blvd. Suite C Gahanna, Ohio 43230 United States",Uncategorized,Three Leaf Productions
THREE STAR CONSTRUCTION,"346 W. ELM STREET Compton, California 90220 United States",Buliding & Construction,"BUILDING CONSTRUCTION; MASONRY; ADDITIONS, ALTERATIONS OR REPAIRS;"
THREE TD ELECTRIC INC.,"830 CHATSWORTH DRIVE Accokeek, Maryland 20607 United States",Buliding & Construction,THREE TD ELECTRIC INC.
THRIFTY BARGAIN 2 LLC,"8009 HIGH OAK ROAD Glen Burnie, Maryland 21060 United States",Uncategorized,THRIFTY BARGAIN 2 LLC
THROOP ELECTRIC COMPANY INC,"610 ROGERS AVENUE BROOKLYN, New York 11226 United States",Buliding & Construction,THROOP ELECTRIC COMPANY INC
THRUWAY BUILDERS INC,"33 SOUTH BROADWAY Yonkers, New York 10701 United States",Buliding & Construction,THRUWAY BUILDERS INC
THS TRANSPORTATION INC,"11450 SUBURBAN RD Houston, Texas 77016-1560 United States",Transportation,Motor carrier trucking company transporting good ( excluding household) locally and over the road.
"TIBIRI ENERGY GROUP, LLC","31 EAST STONEWALL DRIVE Middletown, Delaware 19709 United States",Uncategorized,"TIBIRI ENERGY GROUP, LLC"
Tidewater Business Solutions,"900 Commonwealth Place 200-323 Virginia Beach, Virginia 23464 United States",Uncategorized,Tidewater Business Solutions
TIFFANY MARBLE & CERAMIC TILE INC,"46 AULDWOOD ROAD Stamford, Connecticut 6902 United States",Business Services,TIFFANY MARBLE & CERAMIC TILE INC
Tiffinity Virtual Assistance,"PO Box 88498 Los Angeles, California 90009 United States",Professional Services,"We offer professional administrative services to complete your business. We provide anytime, anywhere virtual support to businesses and individuals."
TIGA PEDIATRICS PC,"3510 BAINBRIDGE AVE #S5 BRONX, New York 10467 United States",Business Services,TIGA PEDIATRICS PC
"TIGER PERSONNEL SERVICES, INC.","1320 FENWICK LANE, SUITE 206 Silver Spring, Maryland 20910 United States",Professional Services,"TIGER PERSONNEL SERVICES, INC."
TIGER SECURITY GROUP INC,"6658 AVENUE M BROOKLYN, New York 11234 United States",Business Services,TIGER SECURITY GROUP INC
TIGHT SECURITY GROUP INC,"765 CLEVELAND STREET BROOKLYN, New York 11208 United States",Business Services,TIGHT SECURITY GROUP INC
TIGHTSEAL CONSTRUCTION INC,"211 C WEST 151ST ST #4B New York, New York 10039 United States",Buliding & Construction,TIGHTSEAL CONSTRUCTION INC
"TIKNEIK UNLIMITED, LLC","4507 FURLEY AVENUE Baltimore, Maryland 21206 United States",Uncategorized,"TIKNEIK UNLIMITED, LLC"
"TIKON GROUP, INC.","5619 PLUM POINT COURT Sugar Land, Texas 77479 United States",Buliding & Construction,"Concrete; Highway Street & Bridge Construction; Painting; Wall Covering; Flooring, Wood & Chainlink fences"
TILLMAN TECHNOLOGIES DBA TRAINUP,"5760 LEGACY DR SUITEB3-382 Plano, Texas 75024 United States",Information Technology,Custom Computer Programming Services
Tillmans Delivery,"4352 Glenmore Creek Drive Winston-Salem, North Carolina 27107 United States",Uncategorized,Tillmans Delivery
"TILMARK JANITORIAL SERVICES, INC.","11503 CARRIAGE CROSSING DRIVE Upper Marlboro, Maryland 20772 United States",Real Estate & Insurance ,"TILMARK JANITORIAL SERVICES, INC."
"TILMON PROPERTIES, LLC","99 COMMERCE PLACE, SUITE 350 Largo, Maryland 20774 United States",Uncategorized,"TILMON PROPERTIES, LLC"
"TIMBUKTU ENTERPRISES, LLC","5745 CUES FAVORITE PLACE Waldorf, Maryland 20602 United States",Uncategorized,"TIMBUKTU ENTERPRISES, LLC"
"TIME PRINTERS, INC.","227 NORTH WARWICK AVENUE Baltimore, Maryland 21223 United States",Uncategorized,"TIME PRINTERS, INC."
"TIMEHRI NETWORKS, LLC","780 NE 199 STREET SUITE E 207 Miami, Florida 33179-0000 United States",Information Technology,COMPUTER SYSTEMS DESIGNA AND OTHER MANAGEMENT CONSULTING SERVICES
"TIMOTHY HANDY & ASSOCIATES, INC.","6404-A AMMENDALE ROAD Beltsville, Maryland 20705 United States",Uncategorized,"TIMOTHY HANDY & ASSOCIATES, INC."
"TINA ROSS CONSTRUCTION, LLC","2775 VILLA CREEK DR STE 201 Dallas, Texas 75234-7400 United States",Buliding & Construction,"CONSTRUCTION: RESIDENTIAL & COMMERCIAL, CONCRETE, FLOORING, FENCE BUILD & REPAIR, ASPHALT."
TINSLEY FAMILY CONCESSIONS,"PO BOX 1442 Auburndale, Florida 33823-0000 United States",Food & Dining,FOOD AND BEVERAGE STORES
TINSLEY GROUP INC THE,"P O BOX 469 Winter Haven, Florida 33882-0469 United States",Food & Dining,FULL SERVICE RESTAURANT
"TIPCO ENGINEERING, INC","425 E REDONDO BEACH BLVD Gardena, California 90248 United States",Buliding & Construction,STRUCTURE EXCAVATION; FURNISH & DRIVE PILING; Construction Management - Other Heavy and Civil Construction; A General Engineering Contractor;
"TIPPINS, JEARLINE","26 OLD PLANTATION WAY Pikesville, Maryland 21208 United States",Uncategorized,"TIPPINS, JEARLINE"
"TISSA ENTERPRISES, INC.","4840 WINCHESTER BOULEVARD, SUITE 1 Frederick, Maryland 21703 United States",Uncategorized,"TISSA ENTERPRISES, INC."
"Titan Commercial Services, Inc.","P.O. Box 481083 Charlotte, North Carolina 28269 United States",Uncategorized,"Titan Commercial Services, Inc."
TITAN CONSTRUCTION GROUP INC,"1401 SW 1ST ST SUITE 212 Miami, Florida 33135-0000 United States",Buliding & Construction,GENERAL CONSTRUCTION
"TITAN DISPOSAL, LLC","3580 WILSHIRE BLVD Los Angeles, California 90010 United States",Transportation,TRANSFER DUMP TRUCK; MISC EQUIPMENT RENTAL & LEASING;
"TITAN ELITE SERVICES, LLC","5809 CENTER DRIVE Temple Hills, Maryland 20748 United States",Uncategorized,"TITAN ELITE SERVICES, LLC"
"TITAN ENVIRONMENTAL SOLUTIONS, INC.","1521 E. ORANGETHORPE AVE. SUITE B Fullerton, California 92831 United States",Professional Services,"CONSULTANT, NON ENGINEERING; CONSULTANT, ENVIRONMENTAL; ENVIRONMENTAL QUALITY;"
TITAN MULTIMEDIA PRODUCTIONS,"72 BOARDMAN STREET Rochester, New York 14607 United States",Business Services,TITAN MULTIMEDIA PRODUCTIONS
"TITAN PROTECTION & SECURITY, LLC","6365 MORNING TIME LANE Columbia, Maryland 21044 United States",Professional Services,"TITAN PROTECTION & SECURITY, LLC"
"Titan Telcom, Inc.","10439 W Georgia Ave Glendale, Arizona 85307 United States",Uncategorized,"Telecommunication systems installation, cabling for voice, data & services."
"TITANIUM LOCK SERVICE, INC.","1300 LINCOLN WOODS DRIVE Baltimore, Maryland 21228 United States",Uncategorized,"TITANIUM LOCK SERVICE, INC."
"Tito Enterprises, LLC","124 S Sequoia Drive West Palm Beach, Florida 33409- United States",Uncategorized,Retail Gift Shop
"TITUS, LLC","8051 CESSNA AVENUE, #288 Gaithersburg, Maryland 20879 United States",Uncategorized,"TITUS, LLC"
TKG & ASSOCIATES LLC,"48 COLIN P. KELLY JR. STREET, 2ND FLOOR San Francisco, California 94017 United States",Professional Services,"CONSULTANT, NON ENGINEERING; MISC BUSINESS SERVICES;"
TKG AND ASSOCIATES,"350 5TH AVENUE, 59TH FLOOR New York, New York 10118 United States",Business Services,TKG AND ASSOCIATES
"TKR PAINTING, INC.","4602 SILVER FOX DR Houston, Texas 77066 United States",Buliding & Construction,Commercial And Residential Painting And Remodeling
TKTD GENERAL CONTRACTING INC,"1200 EAST FAYETTE STREET Syracuse, New York 13210 United States",Buliding & Construction,TKTD GENERAL CONTRACTING INC
TLC ENGINEERING INC,"3415 S SEPULVEDA BLVD, STE. 1100 Los Angeles, California 90034 United States",Uncategorized,Building Inspection Services; DRAFTING;
"TLC ENGINEERING, INC.","8204 WESTGLEN DRIVE Houston, Texas 77063 United States",Professional Services,"TLC ENGINEERING, INC."
TLH ENTERPRISE TRUCKING,"16843 VALLEY BLVD, SUITE E36 Fontana, California 92335 United States",Transportation,END DUMP TRUCK ; TRUCKER;
TLN WORLDWIDE ENTERPRISES INC,"470 LENOX AVENUE SUITE 10B New York, New York 10037 United States",Business Services,TLN WORLDWIDE ENTERPRISES INC
TLW PUBLIC RELATIONS,"140 OLYMPIC CIRCLE Vacaville, California 95687 United States",Professional Services,MANAGEMENT & PUBLIC RELATIONS;
TM & M MECHANICAL CORPORATION,"225 WEST 36TH STREET New York, New York 10018 United States",Business Services,TM & M MECHANICAL CORPORATION
"TMG(THE MOORE GROUP, INC.)","3027 MARINA BAY BOULEVARD League City, Texas 77573-2772 United States",Business Services,"Full service staffing firm. Services in administrative, finance, light industrial and unskilled labor."
"TMG, INC. (THE MOORE GROUP, INC.)","2714 CANAL STREET, SUITE 304 New Orleans, Louisiana 70119 United States",Business Services,BROKER FEES FOR TEMPORARY STAFFING
"TMI SOLUTIONS, INC.","7375 EXECUTIVE PLACE, SUITE 100 LANHAM, Maryland 20706 United States",Uncategorized,"TMI SOLUTIONS, INC."
TMJ Construction Services LLC,"935 Tangelo Circle Bartow, Florida 33830- United States",Buliding & Construction,Contracting submits bids to construct repair demolish and improve buildings and structures including related Imporvement to real estate to resale to o
"TMS HAULING, INC.","1509 EAST NORTHERN PARKWAY Baltimore, Maryland 21239 United States",Transportation,"TMS HAULING, INC."
"TNE GLOBAL, LLC","10480 LITTLE PATUXENT PARKWAY,SUITE 400 Columbia, Maryland 21044 United States",Uncategorized,"TNE GLOBAL, LLC"
"TOALSTON GROUP, LLC, THE","10194 DEEP SKIES DRIVE Laurel, Maryland 20723-5773 United States",Uncategorized,"TOALSTON GROUP, LLC, THE"
"TOCHI CONSULTING ENGINEERING, LLC","PO BOX 127 SICKLERVILLE, New Jersey 8081 United States",Professional Services,"TOCHI CONSULTING ENGINEERING, LLC"
TODAY CATERING,"3513 POTOMAC AVENUE Los Angeles, California 90016 United States",Food & Dining,CATERING;
TODAYS CHILD COMMUNICATIONS INC,"1133 BROADWAY SUITE 901 New York, New York 10010 United States",Business Services,TODAYS CHILD COMMUNICATIONS INC
TODD CONSTRUCTION & DEMOLITION,"2432 CASPIAN AVENUE Long Beach, California 90810 United States",Buliding & Construction,CLEARING & GRUBBING; ROADWAY EXCAVATION; STRUCTURE EXCAVATION; STRUCTURE BACKFILL; DITCHES EXCAVATION; DEMOLITION;
TODD RADER & AMY CREWS ARCH LNDSCP ARCH,"653 CARROLL STREET BROOKLYN, New York 11215 United States",Business Services,TODD RADER & AMY CREWS ARCH LNDSCP ARCH
"TOGETHER WE SERVE, LLC","14630 EDGEMONT ST San Antonio, Texas 78247-1904 United States",Transportation,Services provided are for patrons in need of medical transportation that reside within Bexar County. We provide service at this time for ambulatory pa
TOKI & ASSOCIATES-Milw,"7100 W. FOND DU LAC AVE. Suite 201 Milwaukee, Wisconsin 53218 United States",Buliding & Construction,Asphalt Consultant Grading Pavement Marking Sewer/Utility Structures Survey Other Miscellaneous Airport Construction
"TOLES & ASSOCIATES, INC.","2851 LAMB PLACE, STE 2 Memphis, Tennessee 38118 United States",Professional Services,Civil Engineering
TOM HAMMONDS ENTERPRISES LLC,"122 WINDSOR DR Crestview, Florida 32539 United States",Buliding & Construction,CONSTRUCTION SERVICES
"Tom Sawyer Production, Inc.",12551 Capital Station PMB12551 29210,Professional Services,"561421; Marketing Services, Marketing Research"
"Tom Sawyer Productions, Inc.","Capital Station PMB, 12551 Columbia Columbia, South Carolina 29211 United States",Professional Services,"Airport Concession: Advertising, Marketing and Strategic Communication"
"TOMAR TRUCKING, INC.","8420 WARREN DRIVE POMFRET, Maryland 20675 United States",Transportation,"TOMAR TRUCKING, INC."
"TomBoy Motorsports, LLC","2209 Killearn Mill Ct Cary, North Carolina 27513 United States",Uncategorized,"TomBoy Motorsports, LLC"
TOMLIN ENTERPRISES INC,"20 PONCIANA DRIVE Belle Glade, Florida 33430- United States",Professional Services,PROVIDE PAPER TOILETRIES AND MEDICAL SUPPLIES
Tomlin Transportation Consulting Inc,"14144 SW 166th Terrace Miami, Florida 33177-0000 United States",Transportation,Transportation Consulting
Tonnies Minis,"264 Lenox Avenue New York, New York 10027 United States",Food & Dining,Bakery specializing in cakes and cupcakes.
TONY BAIRD ELECTRONICS INC,"407 SOUTH WARREN STREET, 2ND FLOOR Syracuse, New York 13202 United States",Business Services,TONY BAIRD ELECTRONICS INC
TONY KAY CONSTRUCTION LLC,"823 CONGRESS AVE #805 Austin, Texas 78701-3232 United States",Buliding & Construction,"Building Construction, including General Contractors and Operative Builders,"
"TOP 2 BOTTOM, INC.","P O BOX 8509 Baltimore, Maryland 21234 United States",Uncategorized,"TOP 2 BOTTOM, INC."
TOP CHOICE LAWN CARE,"4236 KEY VEGA COURT Jacksonville, Florida 32218- United States",Home Repair & Improvement,MOWING EDGING HEDGE TRIMMING MULCHING PRUNNING AND PLANTING
TOP ESTATE CONSTRUCTION INC,"5013 KIMBALL HILL CIR Stockton, California 95210 United States",Buliding & Construction,"BUILDING CONSTRUCTION; SMALL STRUCTURES; CARPENTRY; ADDITIONS, ALTERATIONS OR REPAIRS; General Building Contractor;"
"TOP ESTATE CONSTRUCTION, INC","5013 KIMBALL HILL CIRCLE Stockton, California 95210 United States",Buliding & Construction,BUILDING CONSTRUCTION; SMALL STRUCTURES;
"Top Knotch Security, LLC","26 Woodbine Street Waterbury, Connecticut 06705 United States",Professional Services,Provider of Security Services.
TOP OF THE LINE CLEANING INC,"277 PARKRIDGE AVENUE Buffalo, New York 14215 United States",Business Services,TOP OF THE LINE CLEANING INC
"TOP ROOFING, INC.","5406 MORELLO ROAD Baltimore, Maryland 21214 United States",Uncategorized,"TOP ROOFING, INC."
"Top Slab 1, LLC","605 Willie Drive Daytona Beach, Florida 32114- United States",Buliding & Construction,Poured Concrete Foundation and Structure Contractors
TOP TECH SOLUTIONS OF JACKSONVILLE LLC,"4280 OLD WILLIAM PENN HWY ALLEGHENY, Pennsylvania 15146- United States",Buliding & Construction,CIVIL ENGINEERING DESIGN AND CONSTRUCTION MANAGEMENT SERVICES WATER RESOURCES PLANNING AND DESIGN
Topaz Creations Florist,"409 Summit Street Winston-Salem, North Carolina 27101 United States",Uncategorized,Topaz Creations Florist
"Topeka Capital Markets, Inc.","40 Wall Street Suite 1702 New York, New York 10005 United States",Uncategorized,Consultant
TOPEL REALTY,"3344 W. AVENUE L Lancaster, California 93536 United States",Real Estate & Insurance ,REAL ESTATE SALESPERSON; REAL ESTATE AGENTS & MANAGERS; REAL ESTATE APPRAISERS & BROKERS; Real Estate Broker/Agents;
"TOPP KNOTCH PERSONNEL, INC.","10777 NORTHWEST FREEWAY, SUITE 150 Houston, Texas 77092-7344 United States",Business Services,Contract & Temporary Staffing
Topplez Corporation,"P.O. Box 24268 Huber Heights, Ohio 45424 United States",Food & Dining,"We are the beverage manufacturer of Cafe 125 and 125 Vanilla-Complex B, cold-coffee beverages for the true connoisseurs of coffee!"
"TORAN INVESTMENT GROUP, INC.","4008 NE 30TH AVE Portland, Oregon 97212 United States",Uncategorized,OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS
TORRENCE GROUP INC THE,"3508 E GENESEE STREET Syracuse, New York 13214 United States",Buliding & Construction,TORRENCE GROUP INC THE
"TOTAL CLEANING SPECIALIST, LLC","722 SE JUNIPER AVE Dallas, Oregon 97338 United States",Industrial Supplies & Services,JANITORIAL SERVICES
